name,category,difficulty_level,calories_per_minute,is_popular,usage_count,wger_id,wger_category_id
Trunk Rotation With Cable,abs,beginner,5.0,1,0,672,10
DB Skull Crushers,arms,beginner,5.0,1,0,1499,8
Reverse Curl,arms,beginner,5.0,1,0,495,8
Chin-ups,back,beginner,5.0,1,0,154,12
Incline Chest-Supported Dumbbell Row,back,beginner,5.0,1,0,1283,12
March or jog in place,cardio,beginner,5.0,1,0,1584,15
Dumbbell Frog Press,legs,beginner,5.0,1,0,1503,9
Isometria trazioni impugnatura inversa,back,beginner,5.0,1,0,1282,12
Front Raises,shoulders,beginner,5.0,1,0,256,13
Lat Pull Down (close grip),back,beginner,5.0,0,0,1350,12
Turkish Get-Up,abs,beginner,5.0,1,0,675,10
Straight-arm Pull Down (bar Attachment),back,beginner,5.0,1,0,628,12
Seated Triceps Press,arms,beginner,5.0,1,0,549,8
Decline Bench Press Barbell,chest,beginner,5.0,1,0,185,11
Leverage Machine Iso Row,back,beginner,5.0,1,0,380,12
Plantarflexion Stretch with Band,legs,beginner,5.0,0,0,1275,9
Spider Curl,arms,beginner,5.0,1,0,1465,8
Ski Machine,cardio,beginner,5.0,1,0,1526,15
Lateral-to-Front Raises,shoulders,beginner,5.0,1,0,351,13
Pendular hack,legs,beginner,5.0,0,0,1521,9
Glute Drive,legs,beginner,5.0,1,0,1528,9
Incline Dumbbell Press,chest,beginner,5.0,1,0,1277,11
Cable Curls,arms,beginner,5.0,1,0,1531,8
TRX Rows,abs,beginner,5.0,1,0,959,10
Isometric Wipers,chest,beginner,5.0,1,0,314,11
Diamond push ups,chest,beginner,5.0,1,0,386,11
Sitting Calf Stretch (Dorsiflexion),legs,beginner,5.0,1,0,1274,9
Barbell squat,legs,beginner,5.0,1,0,1627,9
Leg Curl,legs,beginner,5.0,1,0,364,9
Dumbbell bicep curl to press,arms,beginner,5.0,1,0,1226,8
High Pull,back,beginner,5.0,1,0,1187,12
Incline Skull Crush,arms,beginner,5.0,1,0,911,8
Push-Ups | Parallettes,chest,beginner,5.0,1,0,1113,11
Biceps Curls With Dumbbell,arms,beginner,5.0,1,0,92,8
Treadmill Cardio,cardio,beginner,5.0,0,0,1615,15
Plank,chest,beginner,5.0,1,0,1317,11
Low Pulley Cable fFly,chest,beginner,5.0,1,0,1272,11
Ice Scream maker,abs,beginner,5.0,1,0,1248,10
Alternating dumbbell hammer curl,arms,beginner,5.0,1,0,1567,8
Triceps Extensions on Cable With Bar,arms,beginner,5.0,1,0,660,8
Australian pull-ups,arms,beginner,5.0,1,0,1219,8
